No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
3171,GHYB,Goldman Sachs Access High Yield Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,42.56,0.28%,"8,069"
3172,GHYG,iShares US & Intl High Yield Corp Bond ETF,Financial,Exchange Traded Fund,USA,-,-,41.65,0.20%,"3,560"
3173,GIA,"GigCapital5, Inc.",Financial,Shell Companies,USA,107.67M,-,10.24,0.34%,"3,191"
3174,GIB,CGI Inc.,Technology,Information Technology Services,Canada,18.10B,19.42,85.93,0.44%,"90,095"
3175,GIC,Global Industrial Company,Industrials,Industrial Distribution,USA,901.49M,10.70,23.83,0.34%,"29,063"
3176,GIFI,"Gulf Island Fabrication, Inc.",Energy,Oil & Gas Equipment & Services,USA,74.39M,-,4.75,1.71%,"16,173"
3177,GIGB,Goldman Sachs Access Investment Grade Corporate Bond ETF,Financial,Exchange Traded Fund,USA,-,-,44.91,-0.39%,"58,401"
3178,GIGM,GigaMedia Limited,Communication Services,Electronic Gaming & Multimedia,Taiwan,13.00M,-,1.21,2.54%,"21,853"
3179,GII,SPDR S&P Global Infrastructure ETF,Financial,Exchange Traded Fund,USA,-,-,52.95,1.09%,"26,414"
3180,GIII,"G-III Apparel Group, Ltd.",Consumer Cyclical,Apparel Retail,USA,615.00M,3.63,13.06,0.85%,"693,661"
3182,GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel Manufacturing,Canada,4.85B,8.07,27.06,0.04%,"409,423"
3183,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,106.96B,32.05,84.75,-0.62%,"3,955,516"
3184,GILT,Gilat Satellite Networks Ltd.,Technology,Communication Equipment,Israel,306.81M,147.84,5.47,0.92%,"96,214"
3185,GIM,Templeton Global Income Fund,Financial,Closed-End Fund - Debt,USA,435.50M,-,4.25,0.24%,"151,612"
3186,GINN,Goldman Sachs Innovate Equity ETF,Financial,Exchange Traded Fund,USA,-,-,40.76,-0.22%,"186,626"
3187,GIPR,"Generation Income Properties, Inc.",Real Estate,REIT - Diversified,USA,12.40M,-,4.98,0.30%,"4,064"
3188,GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,USA,50.22B,17.84,85.41,0.28%,"1,477,477"
3189,GIW,"GigInternational1, Inc.",Financial,Shell Companies,USA,107.53M,-,10.27,-0.58%,"5,372"
3190,GK,AdvisorShares Gerber Kawasaki ETF,Financial,Exchange Traded Fund,USA,-,-,15.11,-0.91%,"20,328"
3191,GKOS,Glaukos Corporation,Healthcare,Medical Instruments & Supplies,USA,2.06B,-,42.63,-1.04%,"174,305"
3192,GL,Globe Life Inc.,Financial,Insurance - Life,USA,11.52B,16.95,120.14,1.46%,"206,647"
3193,GLAD,Gladstone Capital Corporation,Financial,Closed-End Fund - Debt,USA,340.30M,30.90,9.58,1.81%,"118,458"
3194,GLBE,Global-E Online Ltd.,Consumer Cyclical,Internet Retail,Israel,3.01B,-,19.06,-1.29%,"915,436"
3195,GLBL,Cartesian Growth Corporation,Financial,Shell Companies,USA,432.49M,23.54,10.03,0.00%,"1,653"
3196,GLBS,Globus Maritime Limited,Industrials,Marine Shipping,Greece,24.70M,0.65,1.19,-0.83%,"119,315"
3197,GLBZ,Glen Burnie Bancorp,Financial,Banks - Regional,USA,22.57M,16.89,8.68,9.87%,"2,001"
3198,GLD,SPDR Gold Shares,Financial,Exchange Traded Fund,USA,-,-,167.26,0.30%,"2,912,300"
3199,GLDB,Strategy Shares Gold-Hedged Bond ETF,Financial,Exchange Traded Fund,USA,-,-,19.02,-0.05%,402
3200,GLDD,Great Lakes Dredge & Dock Corporation,Industrials,Engineering & Construction,USA,378.50M,17.55,5.74,0.35%,"534,734"
3202,GLDI,Credit Suisse X-Links Gold Shares Covered Call ETN,Financial,Exchange Traded Fund,USA,-,-,145.75,0.17%,"2,740"
3203,GLDM,SPDR Gold MiniShares,Financial,Exchange Traded Fund,USA,-,-,35.68,0.28%,"508,312"
3204,GLG,"TD Holdings, Inc.",Industrials,Rental & Leasing Services,China,59.99M,13.38,1.07,-0.68%,"111,009"
3205,GLIN,VanEck India Growth Leaders ETF,Financial,Exchange Traded Fund,USA,-,-,31.59,-2.14%,"4,890"
3206,GLL,ProShares UltraShort Gold,Financial,Exchange Traded Fund,USA,-,-,31.83,-0.59%,"31,178"
3207,GLLIW,Globalink Investment Inc.,Financial,Shell Companies,USA,-,-,0.01,-5.66%,300
3208,GLMD,Galmed Pharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,14.90M,-,0.54,-8.81%,"255,924"
3209,GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,Bermuda,2.41B,3.11,23.33,4.01%,"966,434"
3210,GLO,Clough Global Opportunities Fund,Financial,Asset Management,USA,214.44M,1.51,5.19,0.58%,"460,418"
3211,GLOB,Globant S.A.,Technology,Software - Application,Luxembourg,6.82B,50.48,163.67,0.60%,"182,055"
3212,GLOP,GasLog Partners LP,Energy,Oil & Gas Midstream,Greece,351.00M,-,6.93,2.06%,"140,572"
3213,GLOV,Goldman Sachs ActiveBeta(R) World Low Vol Plus Equity ETF,Financial,Exchange Traded Fund,USA,-,-,38.69,0.53%,"5,308"
3214,GLP,Global Partners LP,Energy,Oil & Gas Midstream,USA,1.14B,4.03,35.93,6.81%,"251,373"
3215,GLPG,Galapagos NV,Healthcare,Biotechnology,Belgium,2.79B,421.90,42.19,-0.19%,"93,137"
3216,GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,USA,13.36B,21.74,52.46,1.10%,"540,478"
3217,GLQ,Clough Global Equity Fund,Financial,Asset Management,USA,120.69M,1.44,6.54,0.23%,"85,545"
3218,GLRE,"Greenlight Capital Re, Ltd.",Financial,Insurance - Reinsurance,Cayman Islands,279.99M,27.33,8.09,0.62%,"81,189"
3219,GLS,"Gelesis Holdings, Inc.",Healthcare,Biotechnology,USA,22.43M,-,0.31,1.08%,"69,754"
3220,GLSI,"Greenwich LifeSciences, Inc.",Healthcare,Biotechnology,USA,178.34M,-,14.57,4.97%,"28,287"
3222,GLT,Glatfelter Corporation,Basic Materials,Paper & Paper Products,USA,132.99M,-,2.86,-3.70%,"347,333"
3223,GLTA,Galata Acquisition Corp.,Financial,Shell Companies,USA,183.29M,-,10.20,0.00%,130
3224,GLTO,"Galecto, Inc.",Healthcare,Biotechnology,USA,32.00M,-,1.16,-7.20%,"192,896"
3225,GLTR,abrdn Physical Precious Metals Basket Shares ETF,Financial,Exchange Traded Fund,USA,-,-,87.92,0.90%,"31,126"
3226,GLU,The Gabelli Global Utility & Income Trust,Financial,Closed-End Fund - Equity,USA,84.49M,4.40,14.16,0.25%,"25,219"
3227,GLUE,"Monte Rosa Therapeutics, Inc.",Healthcare,Biotechnology,USA,405.58M,-,7.94,-5.25%,"71,245"
3228,GLV,Clough Global Dividend and Income Fund,Financial,Asset Management,USA,81.98M,2.85,6.53,-0.46%,"52,571"
3229,GLW,Corning Incorporated,Technology,Electronic Components,USA,26.70B,14.84,31.75,0.57%,"1,988,831"
3230,GLYC,"GlycoMimetics, Inc.",Healthcare,Biotechnology,USA,118.49M,-,2.27,0.44%,"189,664"
3231,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,47.64B,5.74,33.83,0.89%,"10,619,117"
3232,GMAB,Genmab A/S,Healthcare,Biotechnology,Denmark,28.16B,35.26,43.05,-0.14%,"440,588"
3233,GMBL,"Esports Entertainment Group, Inc.",Consumer Cyclical,Gambling,Malta,6.89M,-,0.09,7.85%,"1,877,379"
3234,GMDA,Gamida Cell Ltd.,Healthcare,Biotechnology,Israel,87.00M,-,1.21,3.42%,"258,693"
3235,GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,USA,6.03B,-,20.08,1.36%,"3,174,827"
3236,GMED,"Globus Medical, Inc.",Healthcare,Medical Devices,USA,7.42B,48.69,73.86,-0.58%,"398,841"
3237,GMF,SPDR S&P Emerging Asia Pacific ETF,Financial,Exchange Traded Fund,USA,-,-,94.61,-0.48%,"12,943"
3238,GMGI,"Golden Matrix Group, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,64.79M,54.89,2.47,7.39%,"70,459"
3239,GMOM,Cambria Global Momentum ETF,Financial,Exchange Traded Fund,USA,-,-,28.39,0.31%,"26,081"
3240,GMRE,Global Medical REIT Inc.,Real Estate,REIT - Healthcare Facilities,USA,615.89M,36.46,9.37,-0.32%,"263,625"
3242,GMTX,"Gemini Therapeutics, Inc.",Healthcare,Biotechnology,USA,67.19M,-,1.55,0.00%,"60,710"
3243,GMVD,G Medical Innovations Holdings Ltd,Healthcare,Medical Instruments & Supplies,Israel,1.75M,-,2.16,-13.90%,"21,661"
3244,GNAC,Group Nine Acquisition Corp.,Financial,Shell Companies,USA,229.31M,43.35,9.97,-1.29%,"18,357"
3245,GNE,Genie Energy Ltd.,Utilities,Utilities - Regulated Electric,USA,267.25M,4.23,10.66,3.29%,"62,346"
3246,GNFT,Genfit S.A.,Healthcare,Biotechnology,France,185.49M,5.72,3.95,6.18%,"59,147"
3247,GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,USA,650.61M,3.02,15.55,1.17%,"534,824"
3248,GNL,"Global Net Lease, Inc.",Real Estate,REIT - Office,USA,1.33B,2151.67,12.91,0.78%,"589,397"
3249,GNLN,"Greenlane Holdings, Inc.",Healthcare,Pharmaceutical Retailers,USA,4.91M,-,0.30,-1.87%,"150,884"
3250,GNMA,iShares GNMA Bond ETF,Financial,Exchange Traded Fund,USA,-,-,44.01,-0.29%,"202,776"
3251,GNOM,Global X Genomics & Biotechnology ETF,Financial,Exchange Traded Fund,USA,-,-,12.65,-2.54%,"63,927"
3252,GNPX,"Genprex, Inc.",Healthcare,Biotechnology,USA,50.20M,-,1.00,-4.31%,"123,408"
3253,GNR,SPDR S&P Global Natural Resources ETF,Financial,Exchange Traded Fund,USA,-,-,57.33,1.36%,"362,323"
3254,GNRC,Generac Holdings Inc.,Industrials,Specialty Industrial Machinery,USA,5.69B,13.89,92.19,2.67%,"1,292,660"
3255,GNS,Genius Group Limited,Consumer Defensive,Education & Training Services,Singapore,7.09M,-,0.35,4.24%,"26,365"
3256,GNSS,Genasys Inc.,Technology,Scientific & Technical Instruments,USA,108.30M,-,3.12,5.76%,"122,251"
3257,GNT,"GAMCO Natural Resources, Gold & Income Trust",Financial,Asset Management,USA,92.75M,9.13,5.02,0.40%,"55,065"
3258,GNTA,Genenta Science S.p.A.,Healthcare,Biotechnology,Italy,96.48M,-,5.51,3.96%,"3,891"
3259,GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,USA,6.27B,20.08,26.99,0.93%,"730,529"
3260,GNTY,"Guaranty Bancshares, Inc.",Financial,Banks - Regional,USA,416.60M,10.21,34.95,0.14%,"9,316"
3262,GNW,"Genworth Financial, Inc.",Financial,Insurance - Life,USA,2.59B,4.55,5.27,1.15%,"1,344,444"
3263,GO,Grocery Outlet Holding Corp.,Consumer Defensive,Grocery Stores,USA,2.85B,53.24,29.71,1.30%,"817,421"
3264,GOAU,U.S. Global GO GOLD and Precious Metal Miners ETF,Financial,Exchange Traded Fund,USA,-,-,15.56,-0.97%,"8,591"
3265,GOCO,"GoHealth, Inc.",Financial,Insurance Brokers,USA,291.94M,-,13.01,-2.18%,"28,910"
3266,GOEV,Canoo Inc.,Consumer Cyclical,Auto Manufacturers,USA,386.40M,-,1.16,3.57%,"5,137,661"
3267,GOEX,Global X Gold Explorers ETF,Financial,Exchange Traded Fund,USA,-,-,25.16,0.94%,"1,106"
3268,GOF,Guggenheim Strategic Opportunities Fund,Financial,Closed-End Fund - Debt,USA,1.56B,7.92,15.69,0.45%,"401,195"
3269,GOGL,Golden Ocean Group Limited,Industrials,Marine Shipping,Bermuda,1.83B,3.11,9.22,1.32%,"1,006,940"
3270,GOGO,Gogo Inc.,Communication Services,Telecom Services,USA,1.76B,9.91,14.85,7.30%,"770,350"
3271,GOL,Gol Linhas Aereas Inteligentes S.A.,Industrials,Airlines,Brazil,585.90M,-,2.98,4.93%,"1,690,085"
3272,GOLD,Barrick Gold Corporation,Basic Materials,Gold,Canada,30.47B,16.33,17.39,0.52%,"12,800,835"
3273,GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,USA,3.05B,18.32,43.28,-0.25%,"153,393"
3274,GOOD,Gladstone Commercial Corporation,Real Estate,REIT - Diversified,USA,788.16M,-,18.69,0.54%,"143,605"
3275,GOODO,Gladstone Commercial Corporation,Real Estate,REIT - Diversified,USA,794.89M,-,19.75,0.74%,"3,942"
3276,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1158.43B,18.25,89.81,1.76%,"17,815,010"
3277,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1138.92B,18.06,89.23,1.68%,"23,003,036"
3278,GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel Manufacturing,Canada,2.59B,22.88,17.30,-3.84%,"1,274,115"
3279,GORO,Gold Resource Corporation,Basic Materials,Gold,USA,138.80M,-,1.55,-1.27%,"445,189"
3280,GOSS,"Gossamer Bio, Inc.",Healthcare,Biotechnology,USA,164.41M,-,1.90,9.20%,"7,322,420"
3282,GOVT,iShares U.S. Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,-,22.89,-0.41%,"5,901,286"
3283,GOVX,"GeoVax Labs, Inc.",Healthcare,Biotechnology,USA,14.91M,-,0.57,0.44%,"303,832"
3284,GP,GreenPower Motor Company Inc.,Consumer Cyclical,Auto Manufacturers,Canada,45.31M,-,1.93,-1.03%,"138,222"
3285,GPACU,Global Partner Acquisition Corp II,Financial,Shell Companies,USA,378.38M,56.06,10.09,0.10%,864
3286,GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,USA,24.67B,21.20,176.57,0.90%,"385,217"
3287,GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.51B,3.83,174.55,1.49%,"115,049"
3288,GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,USA,6.74B,16.96,22.18,1.05%,"1,857,538"
3289,GPMT,Granite Point Mortgage Trust Inc.,Real Estate,REIT - Mortgage,USA,301.52M,-,5.74,-0.35%,"474,712"
3290,GPN,Global Payments Inc.,Industrials,Specialty Business Services,USA,25.57B,431.79,96.72,2.30%,"1,454,388"
3291,GPOR,Gulfport Energy Corporation,Energy,Oil & Gas E&P,USA,1.37B,-,73.72,3.45%,"42,113"
3292,GPP,Green Plains Partners LP,Energy,Oil & Gas Midstream,USA,283.84M,7.03,12.40,1.56%,"20,306"
3293,GPRE,Green Plains Inc.,Basic Materials,Specialty Chemicals,USA,1.73B,-,29.97,2.85%,"458,538"
3294,GPRK,GeoPark Limited,Energy,Oil & Gas E&P,Colombia,768.08M,4.23,14.63,11.51%,"199,383"
3295,GPRO,"GoPro, Inc.",Technology,Consumer Electronics,USA,785.89M,10.79,5.03,-0.20%,"869,334"
3296,GPS,"The Gap, Inc.",Consumer Cyclical,Apparel Retail,USA,4.30B,111.67,12.06,2.46%,"7,083,608"
3297,GQRE,FlexShares Global Quality Real Estate Index Fund,Financial,Exchange Traded Fund,USA,-,-,52.79,0.69%,"74,355"
3298,GRAB,Grab Holdings Limited,Technology,Software - Application,Singapore,11.79B,-,3.27,6.86%,"16,310,473"
3299,GRABW,Grab Holdings Limited,Financial,Asset Management,Singapore,-,-,0.57,8.30%,"3,763"
3300,GRAY,"Graybug Vision, Inc.",Healthcare,Biotechnology,USA,10.80M,-,0.53,5.98%,"26,234"
3302,GRC,The Gorman-Rupp Company,Industrials,Specialty Industrial Machinery,USA,661.24M,43.63,25.57,0.91%,"29,152"
3303,GRCL,Gracell Biotechnologies Inc.,Healthcare,Biotechnology,China,151.60M,-,2.26,0.89%,"41,648"
3304,GREE,Greenidge Generation Holdings Inc.,Financial,Capital Markets,USA,11.60M,-,0.25,-3.85%,"831,753"
3305,GREK,Global X MSCI Greece ETF,Financial,Exchange Traded Fund,USA,-,-,27.18,0.67%,"19,943"
3306,GRES,IQ Global Resources ETF,Financial,Exchange Traded Fund,USA,-,-,34.27,1.38%,"6,005"
3307,GRF,"Eagle Capital Growth Fund, Inc.",Financial,Asset Management,USA,37.70M,4.40,9.60,-3.03%,"2,245"
3308,GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General,Spain,6.96B,81.20,8.12,1.25%,"606,793"
3309,GRFX,Graphex Group Limited,Basic Materials,Other Industrial Metals & Mining,Hong Kong,38.58M,-,1.11,-2.63%,"15,723"
3310,GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,Financial,Exchange Traded Fund,USA,-,-,88.13,-0.17%,"16,652"
3311,GRIL,"Muscle Maker, Inc.",Consumer Cyclical,Restaurants,USA,21.49M,-,0.78,5.03%,"239,952"
3312,GRIN,Grindrod Shipping Holdings Ltd.,Industrials,Marine Shipping,Singapore,367.09M,2.29,19.27,-0.26%,"83,246"
3313,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,17.45B,18.26,91.26,0.26%,"477,067"
3314,GRN,iPath Series B Carbon ETN,Financial,Exchange Traded Fund,USA,-,-,34.21,-0.34%,"2,643"
3315,GRNA,GreenLight Biosciences Holdings,Healthcare,Biotechnology,USA,174.30M,-,1.10,-4.35%,"96,182"
3316,GRNB,VanEck Green Bond ETF,Financial,Exchange Traded Fund,USA,-,-,23.18,-0.19%,"16,783"
3317,GRND,Grindr Inc.,Technology,Software - Application,USA,893.69M,-,5.14,-0.19%,"108,498"
3318,GRNQ,Greenpro Capital Corp.,Industrials,Conglomerates,Malaysia,8.00M,-,1.08,5.60%,"5,164"
3319,GRNT,"Granite Ridge Resources, Inc",Financial,Shell Companies,USA,1.13B,-,8.52,0.47%,"18,590"
3320,GROM,"Grom Social Enterprises, Inc.",Communication Services,Internet Content & Information,USA,3.01M,-,1.29,-5.84%,"877,521"
3322,GROW,"U.S. Global Investors, Inc.",Financial,Asset Management,USA,39.59M,12.33,2.65,-0.38%,"28,217"
3323,GROY,Gold Royalty Corp.,Basic Materials,Other Precious Metals & Mining,Canada,328.09M,-,2.25,-1.32%,"522,998"
3324,GRPH,"Graphite Bio, Inc.",Healthcare,Biotechnology,USA,165.70M,-,2.82,-1.05%,"115,943"
3325,GRPN,"Groupon, Inc.",Communication Services,Internet Content & Information,USA,219.77M,-,7.27,0.69%,"1,122,210"
3326,GRRR,Gorilla Technology Group Inc.,Technology,Software - Infrastructure,Taiwan,287.20M,-,4.04,2.28%,"13,047"
3327,GRTS,"Gritstone bio, Inc.",Healthcare,Biotechnology,USA,276.79M,-,3.32,0.00%,"704,022"
3328,GRTX,"Galera Therapeutics, Inc.",Healthcare,Biotechnology,USA,42.60M,-,1.51,1.00%,"67,968"
3329,GRU,ELEMENTS MLCX Grains TR ETN,Financial,Exchange Traded Fund,USA,-,-,5.38,1.17%,"7,210"
3330,GRVY,"Gravity Co., Ltd.",Communication Services,Electronic Gaming & Multimedia,South Korea,270.92M,6.93,39.55,1.44%,"3,950"
3331,GRWG,GrowGeneration Corp.,Consumer Cyclical,Home Improvement Retail,USA,263.18M,-,4.26,-1.39%,"954,494"
3332,GRX,The Gabelli Healthcare & Wellness Trust,Financial,Closed-End Fund - Equity,USA,174.69M,4.28,10.22,0.39%,"32,988"
3333,GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,USA,117.02B,9.20,345.51,-0.02%,"1,062,061"
3334,GSAT,"Globalstar, Inc.",Communication Services,Telecom Services,USA,2.29B,-,1.29,1.57%,"2,341,491"
3335,GSBC,"Great Southern Bancorp, Inc.",Financial,Banks - Regional,USA,731.69M,11.31,60.42,0.90%,"11,921"
3336,GSBD,"Goldman Sachs BDC, Inc.",Financial,Credit Services,USA,1.47B,16.43,14.57,2.10%,"579,880"
3337,GSEU,Goldman Sachs ActiveBeta Europe Equity ETF,Financial,Exchange Traded Fund,USA,-,-,29.94,0.30%,600
3338,GSEW,Goldman Sachs Equal Weight U.S. Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,58.35,0.59%,"16,368"
3339,GSFP,Goldman Sachs Future Planet Equity ETF,Financial,Exchange Traded Fund,USA,-,-,29.48,0.18%,928
3340,GSG,iShares S&P GSCI Commodity-Indexed Trust,Financial,Exchange Traded Fund,USA,-,-,21.09,1.83%,"869,026"
3342,GSIE,Goldman Sachs ActiveBeta International Equity ETF,Financial,Exchange Traded Fund,USA,-,-,28.99,0.38%,"547,733"
3343,GSIT,"GSI Technology, Inc.",Technology,Semiconductors,USA,39.30M,-,1.63,1.87%,"12,722"
3344,GSJY,Goldman Sachs ActiveBeta Japan Equity ETF,Financial,Exchange Traded Fund,USA,-,-,30.65,0.11%,"2,373"
3345,GSK,GSK plc,Healthcare,Drug Manufacturers - General,United Kingdom,71.97B,14.74,35.22,-0.25%,"3,348,240"
3346,GSL,"Global Ship Lease, Inc.",Industrials,Marine Shipping,United Kingdom,607.23M,2.29,17.11,2.27%,"296,457"
3347,GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,76.65,0.58%,"522,948"
3348,GSM,Ferroglobe PLC,Basic Materials,Other Industrial Metals & Mining,United Kingdom,730.51M,1.51,3.90,0.00%,"3,548,130"
3349,GSMG,Glory Star New Media Group Holdings Limited,Communication Services,Entertainment,China,100.11M,3.45,1.48,0.68%,"77,648"
3350,GSMGW,Glory Star New Media Group Holdings Limited,Communication Services,Advertising Agencies,China,-,0.00,0.00,-26.47%,"69,211"
3351,GSP,iPath S&P GSCI Total Return Index ETN,Financial,Exchange Traded Fund,USA,-,-,21.50,2.18%,"2,595"
3352,GSQD,G Squared Ascend I Inc.,Financial,Shell Companies,USA,416.80M,33.68,10.07,0.00%,"3,280"
3353,GSSC,Goldman Sachs ActiveBeta U.S. Small Cap Equity ETF,Financial,Exchange Traded Fund,USA,-,-,54.89,0.35%,"29,849"
3354,GSST,Goldman Sachs Access Ultra Short Bond ETF,Financial,Exchange Traded Fund,USA,-,-,49.69,-0.07%,"30,185"
3355,GSUN,Golden Sun Education Group Limited,Consumer Defensive,Education & Training Services,China,18.60M,20.60,1.03,-3.74%,"434,274"
3356,GSY,Invesco Ultra Short Duration ETF,Financial,Exchange Traded Fund,USA,-,-,49.41,0.02%,"378,204"
3357,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,USA,2.85B,3.40,10.22,1.39%,"2,630,867"
3358,GTBP,"GT Biopharma, Inc.",Healthcare,Biotechnology,USA,36.50M,-,1.09,-2.68%,"31,813"
3359,GTE,Gran Tierra Energy Inc.,Energy,Oil & Gas E&P,Canada,455.45M,1.54,0.95,2.30%,"3,281,192"
3360,GTEC,Greenland Technologies Holding Corporation,Industrials,Specialty Industrial Machinery,USA,27.01M,5.01,2.12,-1.40%,"6,166"
3362,GTES,Gates Industrial Corporation plc,Industrials,Specialty Industrial Machinery,USA,3.09B,16.32,11.16,2.10%,"441,510"
3363,GTH,Genetron Holdings Limited,Healthcare,Diagnostics & Research,China,83.36M,-,0.92,-0.15%,"98,086"
3364,GTHX,"G1 Therapeutics, Inc.",Healthcare,Biotechnology,USA,289.89M,-,5.48,-4.36%,"558,809"
3365,GTIM,Good Times Restaurants Inc.,Consumer Cyclical,Restaurants,USA,28.71M,-,2.42,0.68%,"5,896"
3366,GTIP,Goldman Sachs Access Inflation Protected USD Bond ETF,Financial,Exchange Traded Fund,USA,-,-,48.74,-0.26%,"20,033"
3367,GTLB,GitLab Inc.,Technology,Software - Application,USA,6.87B,-,46.13,0.57%,"957,056"
3368,GTLS,"Chart Industries, Inc.",Industrials,Specialty Industrial Machinery,USA,4.11B,61.32,112.71,0.56%,"1,679,807"
3369,GTN,"Gray Television, Inc.",Communication Services,Broadcasting,USA,956.25M,3.97,10.46,1.65%,"390,487"
3370,GTO,Invesco Total Return Bond ETF,Financial,Exchange Traded Fund,USA,-,-,46.81,-0.26%,"228,604"
3371,GTX,Garrett Motion Inc.,Consumer Cyclical,Auto Parts,Switzerland,477.67M,9.70,7.85,6.51%,"150,249"
3372,GTXAP,Garrett Motion Inc.,Consumer Cyclical,Auto Parts,Switzerland,507.67M,4.55,8.82,6.14%,"57,801"
3373,GTY,Getty Realty Corp.,Real Estate,REIT - Retail,USA,1.61B,20.63,34.96,1.39%,"259,083"
3374,GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Financial,Exchange Traded Fund,USA,-,-,43.73,1.72%,"929,249"
3375,GURE,"Gulf Resources, Inc.",Basic Materials,Specialty Chemicals,China,32.11M,2.70,2.99,-0.44%,"4,753"
3376,GURU,Global X Guru Index ETF,Financial,Exchange Traded Fund,USA,-,-,34.05,0.21%,"1,291"
3377,GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,Financial,Exchange Traded Fund,USA,-,-,149.89,7.78%,"510,190"
3378,GUT,The Gabelli Utility Trust,Financial,Closed-End Fund - Equity,USA,542.42M,82.11,7.39,0.54%,"69,348"
3379,GVA,Granite Construction Incorporated,Industrials,Engineering & Construction,USA,1.54B,52.24,35.42,0.60%,"116,877"
3380,GVAL,Cambria Global Value ETF,Financial,Exchange Traded Fund,USA,-,-,19.91,0.50%,"16,834"
3382,GVI,iShares Intermediate Government/Credit Bond ETF,Financial,Exchange Traded Fund,USA,-,-,103.00,-0.11%,"165,349"
3383,GVIP,Goldman Sachs Hedge Industry VIP ETF,Financial,Exchange Traded Fund,USA,-,-,69.35,0.54%,"5,518"
3384,GVP,"GSE Systems, Inc.",Technology,Software - Application,USA,15.10M,-,0.79,13.33%,"25,915"
3385,GWAV,"Greenwave Technology Solutions, Inc.",Industrials,Waste Management,USA,9.20M,-,0.92,7.08%,"56,534"
3386,GWH,"ESS Tech, Inc.",Industrials,Electrical Equipment & Parts,USA,355.59M,-,2.25,-3.02%,"1,312,409"
3387,GWRE,"Guidewire Software, Inc.",Technology,Software - Application,USA,5.05B,-,60.47,-2.01%,"560,552"
3388,GWRS,"Global Water Resources, Inc.",Utilities,Utilities - Regulated Water,USA,319.60M,61.65,13.44,0.37%,"12,190"
3389,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,USA,28.37B,20.06,565.10,0.66%,"110,389"
3390,GWX,SPDR S&P International Small Cap ETF,Financial,Exchange Traded Fund,USA,-,-,29.20,0.34%,"99,284"
3391,GXC,SPDR S&P China ETF,Financial,Exchange Traded Fund,USA,-,-,76.78,-0.89%,"1,361,108"
3392,GXG,Global X MSCI Colombia ETF,Financial,Exchange Traded Fund,USA,-,-,20.69,1.92%,"81,543"
3393,GXII,GX Acquisition Corp. II,Financial,Shell Companies,USA,373.49M,415.21,9.97,0.05%,"4,948"
3394,GXO,"GXO Logistics, Inc.",Industrials,Integrated Freight & Logistics,USA,5.00B,24.23,43.03,2.11%,"431,089"
3395,GXTG,Global X Thematic Growth ETF,Financial,Exchange Traded Fund,USA,-,-,23.02,-1.33%,"14,657"
3396,GYLD,Arrow Dow Jones Global Yield ETF,Financial,Exchange Traded Fund,USA,-,-,13.05,0.38%,"1,067"
3397,GYRO,"Gyrodyne, LLC",Real Estate,Real Estate Services,USA,12.58M,47.22,8.50,0.00%,2
3398,H,Hyatt Hotels Corporation,Consumer Cyclical,Lodging,USA,9.69B,78.05,91.09,0.65%,"578,661"
3399,HA,"Hawaiian Holdings, Inc.",Industrials,Airlines,USA,521.78M,-,10.11,-0.39%,"617,282"
3400,HACK,ETFMG Prime Cyber Security ETF,Financial,Exchange Traded Fund,USA,-,-,43.62,-0.46%,"100,023"
3402,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,747.29M,7.12,24.72,0.86%,"76,526"
